Plot	Sample	SampDate	NPOC_ppm	DON_ppm	NO3_ppm	NH4_ppm	minN_ppm	chl_labile_C_mgkg	chl_labile_N_mgkg	NPOC_mgkg	DON_mgkg	NO3_mgkg	NH4_mgkg	minN_mgkg	mbc_mgkg	mbn_mgkg
3	3	2017-07-17 00:00:00.000	40.01	2.362	0.10908	0.02647807	0.13555807	NULL	NULL	197.2715628	11.64597429	0.537825096	0.130551618	0.668376714	NULL	NULL
3	3	2017-08-07 00:00:00.000	29.09	1.994	0.10518	0.01696307	0.12214307	260.1426176	22.96657398	155.0034711	10.6248512	0.560442251	0.090386206	0.650828457	578.0947058	42.53069255
3	4	2017-07-03 00:00:00.000	54.56	3.57	0.09972	0.05692607	0.15664607	99.10372863	17.93981388	279.8845472	18.31356	0.511548516	0.292022128	0.803570644	220.2305081	33.22187755
3	4	2017-07-11 00:00:00.000	32.92	2.503	0.10102	0.02059607	0.12161607	234.8477349	29.67174921	197.226899	14.99571471	0.605220575	0.123393044	0.728613619	521.8838553	54.94768373
3	4	2017-07-17 00:00:00.000	39.05	2.517	0.11376	0.02561307	0.13937307	307.6176205	14.69289011	200.1931005	12.90361163	0.583200182	0.131307552	0.714507734	683.5947122	27.20905576
3	4	2017-08-07 00:00:00.000	64.01	1.501	0.11142	0.01609807	0.12751807	64.75628592	20.62217888	330.5617864	7.751495725	0.575397504	0.083133991	0.658531495	143.9028576	38.18922015
3	5	2017-07-03 00:00:00.000	82.68	3.21	0	0.03339807	0.03339807	129.8849801	21.85545989	456.1763853	17.71076677	0	0.184269604	0.184269604	288.6332892	40.47307386
3	5	2017-07-11 00:00:00.000	39.65	2.587	0.10856	0.01748207	0.12604207	202.3761543	31.68652749	243.5022249	15.88752222	0.666698652	0.107362495	0.774061147	449.7247874	58.6787546
3	5	2017-07-17 00:00:00.000	55.95	3.083	0.1109	0.02422907	0.13512907	303.4663908	17.94756483	286.2542499	15.77340219	0.567392249	0.123962006	0.691354255	674.3697573	33.23623116
3	5	2017-08-07 00:00:00.000	32.39	1.694	0.11558	0	0.11558	321.4598695	30.42642572	169.6366265	8.872011279	0.605328845	0	0.605328845	714.3552656	56.34523281
4	1	2017-07-04 00:00:00.000	72.07	2.906	0	0.04308607	0.04308607	0	16.98055618	383.647007	15.4693798	0	0.229358149	0.229358149	0	31.44547441
4	1	2017-07-13 00:00:00.000	117.15	2.376	0.09764	0.02890007	0.12654007	0	17.89657391	621.6861778	12.60884642	0.518151416	0.153365549	0.671516965	0	33.14180354
4	1	2017-07-19 00:00:00.000	25.54	2.158	0.10726	0.04274007	0.15000007	250.5141102	14.55259	127.6064469	10.78209524	0.535907106	0.213543793	0.749450899	556.6980227	26.94924074
4	1	2017-08-09 00:00:00.000	26.66	1.534	0.10154	0.01488707	0.11642707	156.4916549	16.77992061	144.2516024	8.300148466	0.549411392	0.080550777	0.629962169	347.7592331	31.07392705
4	2	2017-07-04 00:00:00.000	50.27	2.251	0	0.04083707	0.04083707	52.23486673	14.21182905	270.8653431	12.12886189	0	0.22003873	0.22003873	116.0774816	26.31820195
4	2	2017-07-13 00:00:00.000	43.67	2.287	0.09712	0.02578607	0.12290607	72.01110071	15.15430687	216.303863	11.32784371	0.481049489	0.127722156	0.608771645	160.0246682	28.06353124
4	2	2017-07-19 00:00:00.000	45.52	2.475	0.09998	0.03876107	0.13874107	180.1076484	8.63720395	228.9652601	12.44923152	0.502898654	0.194967893	0.697866547	400.2392188	15.99482213
4	2	2017-08-09 00:00:00.000	18.17	1.219	0.1044	0.01575207	0.12015207	219.0938345	18.33215341	96.60173874	6.480876143	0.555047965	0.08374669	0.638794655	486.8751878	33.94843223
4	3	2017-07-04 00:00:00.000	48.14	2.822	0.10154	0.05398507	0.15552507	94.71830297	19.03361114	252.8366595	14.82145935	0.533299427	0.28353562	0.816835047	210.4851177	35.24742804
4	3	2017-07-13 00:00:00.000	30.31	2.021	0	0.01869307	0.01869307	128.9734376	16.58209067	156.0228694	10.40324048	0	0.0962239	0.0962239	286.607639	30.70757532
4	3	2017-07-19 00:00:00.000	47.23	2.626	0.10336	0.03789607	0.14125607	243.7491446	12.10082988	235.0395963	13.06826127	0.514369949	0.188589392	0.702959341	541.6647658	22.40894422
4	3	2017-08-09 00:00:00.000	68.46	1.484	0.107	0	0.107	0	18.33494745	367.1283246	7.958200902	0.573805591	0	0.573805591	0	33.95360639
4	4	2017-07-04 00:00:00.000	47.63	2.523	0	0.04931407	0.04931407	65.28808845	16.07908442	257.0064906	13.61384371	0	0.266093556	0.266093556	145.084641	29.77608227
4	4	2017-07-13 00:00:00.000	46.94	2.366	0	0.02353707	0.02353707	86.74124115	17.78367849	247.6388299	12.48217877	0	0.124173253	0.124173253	192.7583137	32.93273795
4	4	2017-07-19 00:00:00.000	35.99	2.461	0.0979	0.03512807	0.13302807	186.8227841	6.527718518	182.7377919	12.4956295	0.497083352	0.178361377	0.675444729	415.1617424	12.08836763
4	4	2017-08-09 00:00:00.000	17.95	1.301	0	0.01661707	0.01661707	159.8815858	19.47482425	98.61320467	7.147397174	0	0.091290391	0.091290391	355.2924129	36.06448936
4	5	2017-07-04 00:00:00.000	65.11	2.219	0.0992	0.03703107	0.13623107	137.3881004	22.34963	348.6541863	11.88240884	0.531200972	0.19829577	0.729496742	305.3068899	41.3882037
4	5	2017-07-13 00:00:00.000	30.36	2.38	0.09894	0.02890007	0.12784007	151.0844361	14.73656346	177.3993202	13.90679783	0.578125453	0.168868668	0.746994121	335.7431913	27.28993233
4	5	2017-07-19 00:00:00.000	37.69	2.51	0.10336	0.03651207	0.13987207	145.3798221	7.117461269	188.2189266	12.53461146	0.516166311	0.182336498	0.698502809	323.0662713	13.18048383
4	5	2017-08-09 00:00:00.000	53.55	1.805	0.10284	0	0.10284	26.17400765	14.31173324	283.9331853	9.570483651	0.545278969	0	0.545278969	58.16446144	26.5032097
5	1	2017-07-04 00:00:00.000	60.22	3.612	0.09764	0.05035207	0.14799207	220.6544958	19.51606209	319.8613706	19.18530838	0.518619466	0.267447395	0.786066861	490.3433239	36.14085573
5	1	2017-07-13 00:00:00.000	54.1	3.535	0.1252	0.03928007	0.16448007	62.58191469	18.31540502	282.8722773	18.48342884	0.654632331	0.205383417	0.860015748	139.0709215	33.9174167
