Plot	Sample	SampDate	Intial	Final	Count	Graze	Trample	Time
8	5	2017-07-04 00:00:00.000	29448	29639	5	0	0	PRE
8	5	2017-07-12 00:00:00.000	62418	62599	5	0	0	24H
8	5	2017-07-18 00:00:00.000	2839	2975	5	0	0	1wk
8	5	2017-08-08 00:00:00.000	44409	44653	5	0	0	4wk
9	1	2017-07-04 00:00:00.000	29639	29824	5	0	0	PRE
9	1	2017-07-12 00:00:00.000	65656	65784	5	10	30	24H
9	1	2017-07-18 00:00:00.000	6638	6718	5	90	20	1wk
9	1	2017-08-08 00:00:00.000	52988	53145	5	0	70	4wk
9	2	2017-07-04 00:00:00.000	29824	29968	5	0	0	PRE
9	2	2017-07-12 00:00:00.000	65784	65857	5	60	0	24H
9	2	2017-07-18 00:00:00.000	6542	6638	5	30	0	1wk
9	2	2017-08-08 00:00:00.000	53145	53268	5	20	20	4wk
9	3	2017-07-04 00:00:00.000	29968	30098	5	0	0	PRE
9	3	2017-07-12 00:00:00.000	65857	65971	5	80	40	24H
9	3	2017-07-18 00:00:00.000	6448	6542	5	80	10	1wk
9	3	2017-08-08 00:00:00.000	53268	53356	5	5	30	4wk
9	4	2017-07-04 00:00:00.000	30098	30201	5	0	0	PRE
9	4	2017-07-12 00:00:00.000	65971	66064	5	80	10	24H
9	4	2017-07-18 00:00:00.000	6355	6448	5	10	10	1wk
9	4	2017-08-08 00:00:00.000	53356	53453	5	5	5	4wk
9	5	2017-07-04 00:00:00.000	30201	30411	5	0	0	PRE
9	5	2017-07-12 00:00:00.000	66064	66151	5	90	40	24H
9	5	2017-07-18 00:00:00.000	6256	6355	5	20	20	1wk
9	5	2017-08-08 00:00:00.000	53453	53555	5	0	5	4wk
10	1	2017-07-06 00:00:00.000	38350	38451	5	0	0	PRE
10	1	2017-07-14 00:00:00.000	89986	90037	5	90	0	24H
10	1	2017-07-20 00:00:00.000	29896	29944	5	30	50	1wk
10	1	2017-08-10 00:00:00.000	73558	73661	5	80	0	4wk
10	2	2017-07-06 00:00:00.000	38473	38607	5	0	0	PRE
10	2	2017-07-14 00:00:00.000	90082	90146	5	60	40	24H
10	2	2017-07-20 00:00:00.000	29838	29896	5	80	20	1wk
10	2	2017-08-10 00:00:00.000	73661	73735	5	5	0	4wk
10	3	2017-07-06 00:00:00.000	38619	38742	5	0	0	PRE
10	3	2017-07-14 00:00:00.000	90178	90229	5	80	0	24H
10	3	2017-07-20 00:00:00.000	29728	29838	5	30	20	1wk
10	3	2017-08-10 00:00:00.000	73735	73829	5	0	50	4wk
10	4	2017-07-06 00:00:00.000	38766	38862	5	0	0	PRE
10	4	2017-07-14 00:00:00.000	90254	90316	5	80	10	24H
10	4	2017-07-20 00:00:00.000	29611	29728	5	20	30	1wk
10	4	2017-08-10 00:00:00.000	73829	73909	5	10	5	4wk
10	5	2017-07-06 00:00:00.000	38886	39003	5	0	0	PRE
10	5	2017-07-14 00:00:00.000	90316	90392	5	90	0	24H
10	5	2017-07-20 00:00:00.000	29507	29611	5	40	10	1wk
10	5	2017-08-10 00:00:00.000	73909	74026	5	40	10	4wk
11	1	2017-07-06 00:00:00.000	39056	39193	5	0	0	PRE
11	1	2017-07-14 00:00:00.000	87374	87466	5	0	0	24H
11	1	2017-07-20 00:00:00.000	27324	27399	5	50	50	1wk
11	1	2017-08-10 00:00:00.000	71207	71288	5	50	50	4wk
11	2	2017-07-06 00:00:00.000	39208	39283	5	0	0	PRE
11	2	2017-07-14 00:00:00.000	87466	87555	5	0	10	24H
11	2	2017-07-20 00:00:00.000	27261	27324	5	80	30	1wk
11	2	2017-08-10 00:00:00.000	71288	71338	5	50	90	4wk
11	3	2017-07-06 00:00:00.000	39292	39381	5	0	0	PRE
11	3	2017-07-14 00:00:00.000	87629	87736	5	10	0	24H
11	3	2017-07-20 00:00:00.000	27168	27261	5	40	10	1wk
11	3	2017-08-10 00:00:00.000	71338	71399	5	30	40	4wk
11	4	2017-07-06 00:00:00.000	39392	39491	5	0	0	PRE
11	4	2017-07-14 00:00:00.000	87798	87892	5	10	10	24H
11	4	2017-07-20 00:00:00.000	27068	27168	5	20	60	1wk
11	4	2017-08-10 00:00:00.000	71399	71480	5	50	30	4wk
11	5	2017-07-06 00:00:00.000	39497	39621	5	0	0	PRE
11	5	2017-07-14 00:00:00.000	87937	88026	5	0	40	24H
11	5	2017-07-20 00:00:00.000	26970	27068	5	10	60	1wk
11	5	2017-08-10 00:00:00.000	71480	71613	5	50	40	4wk
12	1	2017-07-06 00:00:00.000	39639	39769	5	0	0	PRE
12	1	2017-07-14 00:00:00.000	84156	84240	5	0	0	24H
12	1	2017-07-20 00:00:00.000	24817	24914	5	0	0	1wk
12	1	2017-08-10 00:00:00.000	66648	66761	5	0	0	4wk
12	2	2017-07-06 00:00:00.000	39798	39949	5	0	0	PRE
12	2	2017-07-14 00:00:00.000	84240	84324	5	0	0	24H
12	2	2017-07-20 00:00:00.000	24914	25025	5	0	0	1wk
12	2	2017-08-10 00:00:00.000	66761	66993	5	0	0	4wk
12	3	2017-07-06 00:00:00.000	39999	40199	5	0	0	PRE
12	3	2017-07-14 00:00:00.000	84324	84483	5	0	0	24H
12	3	2017-07-20 00:00:00.000	25025	25156	5	0	0	1wk
12	3	2017-08-10 00:00:00.000	66993	67179	5	0	0	4wk
12	4	2017-07-06 00:00:00.000	40199	40385	5	0	0	PRE
12	4	2017-07-14 00:00:00.000	84483	84644	5	0	0	24H
12	4	2017-07-20 00:00:00.000	25156	25364	5	0	0	1wk
12	4	2017-08-10 00:00:00.000	67179	67362	5	0	0	4wk
12	5	2017-07-06 00:00:00.000	40385	40495	5	0	0	PRE
12	5	2017-07-14 00:00:00.000	84644	84798	5	0	0	24H
12	5	2017-07-20 00:00:00.000	25364	25410	5	0	0	1wk
12	5	2017-08-10 00:00:00.000	67362	67542	5	0	0	4wk
