Plot	Sample	SampDate	tinwght	mstsoil1011g	tinsoilOD24h	Gravmois	Imputed	Gravmois_percentage
6	2	2017-07-13 00:00:00.000	0.97	6.95	6.54	7.36	0	0.073608618
6	2	2017-07-19 00:00:00.000	0.97	6.41	5.94	9.46	0	0.094567404
6	2	2017-08-09 00:00:00.000	0.95	7.01	6.13	16.99	0	0.16988417
6	3	2017-07-04 00:00:00.000	0.96	6.2	6.04	3.15	0	0.031496063
6	3	2017-07-13 00:00:00.000	1.02	6.55	6.12	8.43	0	0.084313725
6	3	2017-07-19 00:00:00.000	1	6.14	5.78	7.53	0	0.075313808
6	3	2017-08-09 00:00:00.000	1.05	6.49	5.55	20.89	0	0.208888889
6	4	2017-07-04 00:00:00.000	1.02	6.04	5.71	7.04	0	0.070362473
6	4	2017-07-13 00:00:00.000	1.02	6.82	6.34	9.02	0	0.090225564
6	4	2017-07-19 00:00:00.000	1.01	6.48	5.77	14.92	0	0.149159664
6	4	2017-08-09 00:00:00.000	1.01	6.51	5.77	15.55	0	0.155462185
6	5	2017-07-04 00:00:00.000	1.01	6.06	5.63	9.31	0	0.093073593
6	5	2017-07-13 00:00:00.000	0.99	6.3	5.89	8.37	0	0.083673469
6	5	2017-07-19 00:00:00.000	0.99	6.59	5.8	16.42	0	0.164241164
6	5	2017-08-09 00:00:00.000	0.99	6.94	5.92	20.69	0	0.206896552
7	1	2017-07-05 00:00:00.000	1.01	6.22	5.86	7.42	0	0.074226804
7	1	2017-07-12 00:00:00.000	1.02	6.33	5.98	7.06	0	0.070564516
7	1	2017-07-18 00:00:00.000	1	6.34	5.99	7.01	0	0.070140281
7	1	2017-08-08 00:00:00.000	1.03	6.52	5.85	13.9	0	0.139004149
7	2	2017-07-05 00:00:00.000	1.03	6.18	5.9	5.75	0	0.057494867
7	2	2017-07-12 00:00:00.000	0.99	6.48	6.18	5.78	0	0.057803468
7	2	2017-07-18 00:00:00.000	0.99	6.38	6.06	6.31	0	0.063116371
7	2	2017-08-08 00:00:00.000	0.99	6.69	5.93	15.38	0	0.153846154
7	3	2017-07-05 00:00:00.000	1	6.12	5.88	4.92	0	0.049180328
7	3	2017-07-12 00:00:00.000	1.02	6.44	6.13	6.07	0	0.060665362
7	3	2017-07-18 00:00:00.000	1.02	6.3	6.02	5.6	0	0.056
7	3	2017-08-08 00:00:00.000	1.02	7.01	6.09	18.15	0	0.181459566
7	4	2017-07-05 00:00:00.000	1	6.46	6.16	5.81	0	0.058139535
7	4	2017-07-12 00:00:00.000	1.03	6.29	5.72	12.15	0	0.121535181
7	4	2017-07-18 00:00:00.000	1	6.3	6.07	4.54	0	0.045364892
7	4	2017-08-08 00:00:00.000	1.02	7.08	6.27	15.43	0	0.154285714
7	5	2017-07-05 00:00:00.000	1.02	6.05	5.79	5.45	0	0.054507338
7	5	2017-07-12 00:00:00.000	1.02	6.41	5.65	16.41	0	0.164146868
7	5	2017-07-18 00:00:00.000	1.01	6.29	6	5.81	0	0.058116232
7	5	2017-08-08 00:00:00.000	1.01	7.15	6.25	17.18	0	0.171755725
8	1	2017-07-05 00:00:00.000	1.02	6.29	5.99	6.04	0	0.060362173
8	1	2017-07-12 00:00:00.000	1.02	6.15	5.7	9.62	0	0.096153846
8	1	2017-07-18 00:00:00.000	1.03	6.38	5.89	10.08	0	0.100823045
8	1	2017-08-08 00:00:00.000	1.04	6.93	6.14	15.49	0	0.154901961
8	2	2017-07-05 00:00:00.000	1.01	6.07	5.85	4.55	0	0.045454545
8	2	2017-07-12 00:00:00.000	1.02	6.19	5.65	11.66	0	0.11663067
8	2	2017-07-18 00:00:00.000	1.01	6.44	6.13	6.05	0	0.060546875
8	2	2017-08-08 00:00:00.000	1	6.67	5.83	17.39	0	0.173913043
