Plot	Sample	SampDate	doc_don	tin_wt	grav_mois	grav_od	mbc_prefum	mbc_postfum	leftover
5	4	2017-07-13 00:00:00.000	10.71	1	6.07	5.7	10.62	10.64	20.28
5	4	2017-07-19 00:00:00.000	10.93	0.99	6.24	5.85	11.06	10.7	36.6
5	4	2017-08-09 00:00:00.000	10.92	0.99	6.55	5.85	10.81	11.25	17.88
5	5	2017-07-04 00:00:00.000	10.29	1	6.3	6.06	10.15	10.59	23.25
5	5	2017-07-13 00:00:00.000	10.99	1.01	6.37	5.94	10.6	10.77	23.79
5	5	2017-07-19 00:00:00.000	10.73	1.01	6.28	5.86	10.84	10.92	31
5	5	2017-08-09 00:00:00.000	10.81	1	6.25	5.39	10.54	11.03	11.3
6	1	2017-07-04 00:00:00.000	10.11	1	6.43	6.18	10.05	10.46	16.71
6	1	2017-07-13 00:00:00.000	10.68	1.01	6.64	5.98	10.15	10.65	7.58
6	1	2017-07-19 00:00:00.000	10.89	1.01	6.06	5.65	10.72	10.93	29.11
6	1	2017-08-09 00:00:00.000	11.09	1.03	6.35	5.38	10.7	11.41	14.7
6	2	2017-07-04 00:00:00.000	10.05	1.01	6.1	5.98	10.05	10.76	23.49
6	2	2017-07-13 00:00:00.000	10.73	0.97	6.95	6.54	10.8	10.74	22.54
6	2	2017-07-19 00:00:00.000	10.99	0.97	6.41	5.94	10.59	10.61	32.92
6	2	2017-08-09 00:00:00.000	10.76	0.95	7.01	6.13	11.01	11.86	29.1
6	3	2017-07-04 00:00:00.000	10.1	0.96	6.2	6.04	10.08	10.53	25.86
6	3	2017-07-13 00:00:00.000	10.52	1.02	6.55	6.12	10.61	10.59	25.35
6	3	2017-07-19 00:00:00.000	10.79	1	6.14	5.78	10.68	10.87	31.73
6	3	2017-08-09 00:00:00.000	10.98	1.05	6.49	5.55	10.57	11.3	23.2
6	4	2017-07-04 00:00:00.000	10.23	1.02	6.04	5.71	10.2	10.43	14.9
6	4	2017-07-13 00:00:00.000	10.83	1.02	6.82	6.34	10.64	10.79	20.52
6	4	2017-07-19 00:00:00.000	10.81	1.01	6.48	5.77	10.66	10.57	27.9
6	4	2017-08-09 00:00:00.000	10.84	1.01	6.51	7.77	10.64	11.75	32.32
6	5	2017-07-04 00:00:00.000	10.06	1.01	6.06	5.63	10.15	11.24	22.65
6	5	2017-07-13 00:00:00.000	10.91	0.99	6.3	5.89	10.66	10.69	24.84
6	5	2017-07-19 00:00:00.000	10.54	0.99	6.59	5.8	10.7	10.61	-
6	5	2017-08-09 00:00:00.000	11.01	0.99	6.94	5.92	10.82	11.77	17.27
7	1	2017-07-05 00:00:00.000	10.03	1.01	6.22	5.86	10.08	11.1	25.29
7	1	2017-07-12 00:00:00.000	10.88	1.02	6.33	5.98	10.99	10.85	17.97
7	1	2017-07-18 00:00:00.000	10.69	1	6.34	5.99	10.56	10.82	25.78
7	1	2017-08-08 00:00:00.000	10.92	1.03	6.52	5.85	11	11.99	24.13
7	2	2017-07-05 00:00:00.000	10.12	1.03	6.18	5.9	10.16	10.62	23.35
7	2	2017-07-12 00:00:00.000	10.98	0.99	6.48	6.18	10.99	10.98	25.87
7	2	2017-07-18 00:00:00.000	10.58	0.99	6.38	6.06	10.7	10.55	32.2
7	2	2017-08-08 00:00:00.000	10.97	0.99	6.69	5.93	10.97	11.68	25.24
7	3	2017-07-05 00:00:00.000	10.19	1	6.12	5.88	10.01	11.21	19.93
7	3	2017-07-12 00:00:00.000	10.97	1.02	6.44	6.13	10.97	10.64	23.82
7	3	2017-07-18 00:00:00.000	10.69	1.02	6.3	6.02	10.69	10.82	25.38
7	3	2017-08-08 00:00:00.000	11.06	1.02	7.01	6.09	11.02	11.77	21.21
7	4	2017-07-05 00:00:00.000	10.07	1	6.46	6.16	10.22	10.83	24.17
7	4	2017-07-12 00:00:00.000	10.98	1.03	6.29	5.72	11	10.88	23.82
7	4	2017-07-18 00:00:00.000	10.59	1	6.3	6.07	10.9	10.85	27.47
7	4	2017-08-08 00:00:00.000	11	1.02	7.08	6.27	10.99	12.02	17.64
7	5	2017-07-05 00:00:00.000	10	1.02	6.05	5.79	10.07	10.28	19.18
7	5	2017-07-12 00:00:00.000	10.99	1.02	6.41	5.65	10.97	10.7	16.84
7	5	2017-07-18 00:00:00.000	10.78	1.01	6.29	6	10.64	10.69	31.1
7	5	2017-08-08 00:00:00.000	10.94	1.01	7.15	6.25	11	11.52	20.58
8	1	2017-07-05 00:00:00.000	10.03	1.02	6.29	5.99	10.05	11.01	24.31
8	1	2017-07-12 00:00:00.000	11	1.02	6.15	5.7	11	10.69	19.41
8	1	2017-07-18 00:00:00.000	10.42	1.03	6.38	5.89	10.83	10.85	23.75
8	1	2017-08-08 00:00:00.000	10.86	1.04	6.93	6.14	10.95	11.62	21.67
8	2	2017-07-05 00:00:00.000	10.02	1.01	6.07	5.85	10.12	111.12	18.74
8	2	2017-07-12 00:00:00.000	11	1.02	6.19	5.65	10.99	10.77	14.15
8	2	2017-07-18 00:00:00.000	10.93	1.01	6.44	6.13	10.83	10.71	33.99
8	2	2017-08-08 00:00:00.000	10.83	1	6.67	5.83	11.01	11.82	18.34
8	3	2017-07-05 00:00:00.000	10.02	0.99	6.07	5.72	10.06	10.45	19.79
8	3	2017-07-12 00:00:00.000	11	1	6.16	5.82	10.97	10.55	23.25
8	3	2017-07-18 00:00:00.000	10.6	0.99	6.22	5.82	10.74	11.02	24.96
8	3	2017-08-08 00:00:00.000	11.05	1.01	6.6	5.83	10.71	11.61	20.83
8	4	2017-07-05 00:00:00.000	10.05	1	6	6.51	10.17	10.87	18.11
8	4	2017-07-12 00:00:00.000	10.98	1	6.29	5.89	11	10.68	15.65
8	4	2017-07-18 00:00:00.000	10.63	1.01	6.19	5.67	10.59	10.68	17.56
8	4	2017-08-08 00:00:00.000	10.92	1.01	6.6	5.33	10.81	11.97	13.62
8	5	2017-07-05 00:00:00.000	10.08	1	6.87	5.65	10.18	11.36	16.18
8	5	2017-07-12 00:00:00.000	10.98	1.02	6.44	5.67	10.99	10.64	21.1
8	5	2017-07-18 00:00:00.000	10.66	1.02	6.3	5.93	10.87	10.8	30.71
8	5	2017-08-08 00:00:00.000	10.71	1.02	6.12	5.15	11	11.02	16.52
9	1	2017-07-05 00:00:00.000	10.07	1.03	6.48	6.16	10.15	11.09	22.17
9	1	2017-07-12 00:00:00.000	10.99	1	6.34	5.85	10.99	10.84	18.01
9	1	2017-07-18 00:00:00.000	10.8	1.02	6.42	5.99	10.65	10.98	10.91
9	1	2017-08-08 00:00:00.000	10.89	1.01	6.59	5.82	10.98	11.62	15.2
9	2	2017-07-05 00:00:00.000	10.1	1.02	6.17	5.92	10.11	11.35	26.09
9	2	2017-07-12 00:00:00.000	10.99	0.97	6.39	5.98	10.99	10.62	17.99
9	2	2017-07-18 00:00:00.000	10.76	1.01	6.3	5.98	10.59	10.64	31.8
9	2	2017-08-08 00:00:00.000	11.02	1.02	6.46	5.8	10.94	11.59	30.07
9	3	2017-07-05 00:00:00.000	10.17	1	6.15	5.9	10.21	10.3	20.35
9	3	2017-07-12 00:00:00.000	11	0.98	6.17	5.68	10.96	10.98	19.8
9	3	2017-07-18 00:00:00.000	10.77	1.01	6.41	6.05	10.66	10.73	24.9
9	3	2017-08-08 00:00:00.000	10.92	1	6.32	5.65	10.85	11.85	24.95
9	4	2017-07-05 00:00:00.000	10.17	1.01	6.45	6.15	10.05	10.15	21.33
9	4	2017-07-12 00:00:00.000	10.99	1.02	6.26	5.67	10.99	10.93	18.72
9	4	2017-07-18 00:00:00.000	10.88	1	7.72	7.19	10.58	10.39	18.33
9	4	2017-08-08 00:00:00.000	10.8	1	7.35	6.55	10.82	11.91	26.44
9	5	2017-07-05 00:00:00.000	10.12	1	5.95	5.17	10.08	10.05	20.36
9	5	2017-07-12 00:00:00.000	10.99	1.02	6.18	5.22	10.97	10.61	12.18
9	5	2017-07-18 00:00:00.000	10.67	1.03	6.14	5.76	10.67	10.97	-
9	5	2017-08-08 00:00:00.000	10.84	1.02	7.29	6.42	10.94	11.53	27.39
10	1	2017-07-05 00:00:00.000	10.2	1	6.15	5.9	10.14	10.83	24.17
10	1	2017-07-14 00:00:00.000	10.8	1.01	6.37	6.02	10.63	10.9	23.76
10	1	2017-07-20 00:00:00.000	10.85	1	6.25	5.91	10.79	10.88	31.79
10	1	2017-08-10 00:00:00.000	10.97	1	7.28	6.14	10.84	11.47	21.02
10	2	2017-07-05 00:00:00.000	10.09	1	6.15	5.79	10	10.27	
10	2	2017-07-14 00:00:00.000	10.74	1.01	6.18	5.85	10.45	10.76	22.75
10	2	2017-07-20 00:00:00.000	10.54	1.01	6.2	5.72	10.58	10.97	29.39
10	2	2017-08-10 00:00:00.000	11.08	1.01	6.04	5.13	10.53	11.49	18.9
10	3	2017-07-05 00:00:00.000	10.15	1	6.06	5.8	10.04	11.31	31.87
10	3	2017-07-14 00:00:00.000	10.94	1.02	6.91	6.48	10.73	10.52	23.83
10	3	2017-07-20 00:00:00.000	10.81	1.01	6.39	6	10.71	10.98	24.77
10	3	2017-08-10 00:00:00.000	10.84	1.01	7.16	6.06	10.95	11.92	22.41
10	4	2017-07-05 00:00:00.000	10.12	1.01	6.13	5.86	10.06	10.54	26.75
10	4	2017-07-14 00:00:00.000	10.99	1.03	6.5	6.11	10.62	10.9	22.56
10	4	2017-07-20 00:00:00.000	10.88	1	6.24	5.7	10.66	10.95	32.88
10	4	2017-08-10 00:00:00.000	10.79	1.02	6.51	5.61	10.85	11.5	15.87
10	5	2017-07-05 00:00:00.000	10.2	1	6.13	5.83	10.11	11.33	28.67
10	5	2017-07-14 00:00:00.000	10.84	0.99	5.95	5.45	10.56	10.55	22.26
10	5	2017-07-20 00:00:00.000	10.9	1.03	6.17	5.71	10.66	10.82	34.27
10	5	2017-08-10 00:00:00.000	10.67	1	6.47	5.4	10.64	11.08	15.17
