Plot	Sample	SampDate	NO3_mgkgdrysoil	NH4_mgkgdrysoil	minN_mgkgdrysoil	NPOC_mgkgdrysoil	DON_mgkgdrysoil	MBC_mgkgdrysoil	MBN_mgkgdrysoil
4	3	2017-07-04 00:00:00.000	0	8.032695071	8.032695071	252.8366595	6.78876428	210.4851177	36.84027646
4	3	2017-07-13 00:00:00.000	0	1.802839952	1.802839952	156.0228694	8.60040053	286.607639	30.71688366
4	3	2017-07-19 00:00:00.000	0	4.935929613	4.935929613	235.0395963	8.132331658	541.6647658	22.34964462
4	3	2017-08-09 00:00:00.000	0	0	0	367.1283246	7.958200902	0	33.95360639
4	4	2017-07-04 00:00:00.000	0	7.410466773	7.410466773	257.0064906	6.203376935	145.084641	30.33382586
4	4	2017-07-13 00:00:00.000	0	2.701557755	2.701557755	247.6388299	9.780621016	192.7583137	32.98801844
4	4	2017-07-19 00:00:00.000	0	4.566485719	4.566485719	182.7377919	7.929143783	415.1617424	12.17410127
4	4	2017-08-09 00:00:00.000	0	1.543019503	1.543019503	98.61320467	5.604377671	355.2924129	36.32888778
4	5	2017-07-04 00:00:00.000	0	5.156440537	5.156440537	348.6541863	6.725968302	305.3068899	41.54580796
4	5	2017-07-13 00:00:00.000	0	4.039233382	4.039233382	177.3993202	9.867564449	335.7431913	27.26235607
4	5	2017-07-19 00:00:00.000	0	4.722237267	4.722237267	188.2189266	7.812374191	323.0662713	13.05140805
4	5	2017-08-09 00:00:00.000	0	0	0	283.9331853	9.570483651	58.16446144	26.5032097
5	1	2017-07-04 00:00:00.000	0	7.478842631	7.478842631	319.8613706	11.70646575	490.3433239	36.50496686
5	1	2017-07-13 00:00:00.000	0.26947878	5.427866643	5.697345423	282.8722773	12.78608341	139.0709215	33.96685737
5	1	2017-07-19 00:00:00.000	0	5.053181222	5.053181222	158.8023162	5.535280717	692.6233507	20.72798933
5	1	2017-08-09 00:00:00.000	0	1.345581383	1.345581383	97.89420011	5.46615341	317.8319705	41.05337687
5	2	2017-07-04 00:00:00.000	0	6.911859335	6.911859335	297.4018563	5.877453131	819.8326675	61.58109561
5	2	2017-07-13 00:00:00.000	0	4.202757343	4.202757343	270.3344672	9.932476795	0	16.69694757
5	2	2017-07-19 00:00:00.000	0	2.616818795	2.616818795	142.8291541	6.668353762	717.8679219	24.75590103
5	2	2017-08-09 00:00:00.000	0	0	0	88.58591411	5.381890286	244.2990394	32.56334198
5	3	2017-07-04 00:00:00.000	0	15.0212659	15.0212659	243.0043488	2.808453565	863.3439895	74.16759232
5	3	2017-07-13 00:00:00.000	0	3.21048297	3.21048297	282.5098424	9.247623716	0	18.80955272
5	3	2017-07-19 00:00:00.000	0	5.036692729	5.036692729	161.0808585	6.091281289	746.9008763	23.45592629
5	3	2017-08-09 00:00:00.000	0	1.929040233	1.929040233	150.3085348	5.180000779	130.9022164	33.0092675
5	4	2017-07-04 00:00:00.000	0	7.375103457	7.375103457	432.6726327	10.72765743	489.6331075	56.06690209
5	4	2017-07-13 00:00:00.000	0	2.832556911	2.832556911	179.3927295	9.865972554	280.5407134	30.04168417
5	4	2017-07-19 00:00:00.000	0	4.507805318	4.507805318	187.3055146	5.611971489	748.2950059	27.67573315
5	4	2017-08-09 00:00:00.000	0	2.273687327	2.273687327	152.6807291	8.023903453	311.5462416	39.32769467
5	5	2017-07-04 00:00:00.000	0	4.924503311	4.924503311	167.6876295	3.968719857	602.7428308	51.86628127
5	5	2017-07-13 00:00:00.000	0	4.227342033	4.227342033	167.928055	8.599248262	311.9431408	37.16803302
5	5	2017-07-19 00:00:00.000	0	1.611161172	1.611161172	148.8368792	5.297116615	537.2023294	17.10100735
