SampDate	Plot	Sample	wet_sieve	dry_sieve	tin_wt	tin_wetsoil	tin_od	rockwt_measured	core_vol	old_bd_dontuse	calc_rockvol	calc_bd
2017-08-09 00:00:00.000	1	5	NULL	NULL	25.55	85.79	76.85	0.51	38.7	1.32	0.19	1.31887821345105
2017-08-09 00:00:00.000	2	1	NULL	NULL	25.43	75.47	67.14	0.16	38.7	1.08	0.06	1.07531055900621
2017-08-09 00:00:00.000	2	2	NULL	NULL	25.35	85.75	77.08	0.38	38.7	1.33	0.14	1.33169087136929
2017-08-09 00:00:00.000	2	3	NULL	NULL	25.44	83.99	76.22	0.31	38.7	1.31	0.12	1.30819077242094
2017-08-09 00:00:00.000	2	4	NULL	NULL	25.86	78.77	72.05	0.38	38.7	1.19	0.14	1.18801867219917
2017-08-09 00:00:00.000	2	5	NULL	NULL	25.53	81.98	71.75	0.34	38.7	1.19	0.13	1.18952553798289
2017-08-09 00:00:00.000	3	1	NULL	NULL	25.43	82.31	71.88	0.99	38.7	1.19	0.37	1.18601617531959
2017-08-09 00:00:00.000	3	2	NULL	NULL	25.85	82.6	75.27	0.9	38.7	1.26	0.34	1.26485922836288
2017-08-09 00:00:00.000	3	3	NULL	NULL	25.92	73.99	65.65	0.22	38.7	1.02	0.08	1.02304505437597
2017-08-09 00:00:00.000	3	4	NULL	NULL	25.82	79.69	71.24	0.51	38.7	1.17	0.19	1.1661905998442
2017-08-09 00:00:00.000	3	5	NULL	NULL	25.94	78.24	68.47	0.55	38.7	1.09	0.21	1.09067290205248
2017-08-09 00:00:00.000	4	1	NULL	NULL	25.6	79.81	72.58	1.68	38.7	1.19	0.63	1.18991331757289
2017-08-09 00:00:00.000	4	2	NULL	NULL	25.63	74.64	65.85	0.12	38.7	1.04	0.05	1.03751617076326
2017-08-09 00:00:00.000	4	3	NULL	NULL	25.66	81.92	73.07	1.06	38.7	1.21	0.4	1.21018276762402
2017-08-09 00:00:00.000	4	4	NULL	NULL	25.87	85.27	76.57	0.5	38.7	1.3	0.19	1.30355751752791
2017-08-09 00:00:00.000	4	5	NULL	NULL	25.7	84.07	73.44	0.61	38.7	1.23	0.23	1.22511047569535
2017-08-09 00:00:00.000	5	1	NULL	NULL	25.44	86.34	75	0.64	38.7	1.27	0.24	1.27197087883515
2017-08-09 00:00:00.000	5	2	NULL	NULL	25.67	78.05	70.17	0.59	38.7	1.14	0.22	1.14111226611227
2017-08-09 00:00:00.000	5	3	NULL	NULL	25.81	80.76	71.98	0	38.7	1.19	0	1.19302325581395
2017-08-09 00:00:00.000	5	4	NULL	NULL	25.81	82.05	73.61	1.09	38.7	1.22	0.41	1.21990075737791
2017-08-09 00:00:00.000	5	5	NULL	NULL	25.96	72.68	64.18	0.12	38.7	0.99	0.05	0.985769728331177
2017-08-09 00:00:00.000	6	1	NULL	NULL	25.16	75.74	64.66	0.18	38.7	1.02	0.07	1.01786176546725
2017-08-09 00:00:00.000	6	2	NULL	NULL	25.17	77.26	68.71	0.2	38.7	1.12	0.08	1.12221646815122
2017-08-09 00:00:00.000	6	3	NULL	NULL	25.54	74.67	65.5	0.59	38.7	1.02	0.22	1.0231288981289
2017-08-09 00:00:00.000	6	4	NULL	NULL	25.47	81.85	71.52	0.37	38.7	1.18	0.14	1.18464730290456
2017-08-09 00:00:00.000	6	5	NULL	NULL	25.82	79.95	69.53	0.3	38.7	1.12	0.11	1.12490282456595
2017-08-10 00:00:00.000	10	1	NULL	NULL	25.8	81.39	71.31	0.45	38.7	1.17	0.17	1.16947832857514
2017-08-10 00:00:00.000	10	2	NULL	NULL	25.23	84.81	75.85	0.77	38.7	1.3	0.29	1.2978391043999
2017-08-10 00:00:00.000	10	3	NULL	NULL	25.24	83.59	73.92	0.21	38.7	1.26	0.08	1.25504919730709
2017-08-10 00:00:00.000	10	4	NULL	NULL	25.52	84.61	73.97	0.44	38.7	1.25	0.17	1.24604204515962
2017-08-10 00:00:00.000	10	5	NULL	NULL	25.39	83.32	71.53	0.35	38.7	1.19	0.13	1.1871921182266
2017-08-10 00:00:00.000	11	1	NULL	NULL	25.92	77.72	68.79	0.05	38.7	1.11	0.02	1.10703205791107
2017-08-10 00:00:00.000	11	2	NULL	NULL	25.67	86.11	77.41	0.66	38.7	1.33	0.25	1.32847854356307
2017-08-10 00:00:00.000	11	3	NULL	NULL	25.38	83.48	74.17	1.74	38.7	1.24	0.66	1.23685594111462
2017-08-10 00:00:00.000	11	4	NULL	NULL	25.72	84.92	74.6	0.65	38.7	1.25	0.25	1.25435630689207
2017-08-10 00:00:00.000	11	5	NULL	NULL	25.75	87.2	75.79	0.2	38.7	1.29	0.08	1.29052304505438
2017-08-10 00:00:00.000	12	1	NULL	NULL	25.88	87.67	76.08	0.59	38.7	1.29	0.22	1.28924116424116
2017-08-10 00:00:00.000	12	2	NULL	NULL	25.96	84.88	75.43	0.08	38.7	1.28	0.03	1.27721748125162
2017-08-10 00:00:00.000	12	3	NULL	NULL	25.7	82.09	73.26	0.87	38.7	1.22	0.33	1.21683606984623
2017-08-10 00:00:00.000	12	4	NULL	NULL	25.19	84.17	73.12	0.31	38.7	1.23	0.12	1.23431829963712
2017-08-10 00:00:00.000	12	5	NULL	NULL	25.68	87.23	75.62	0.24	38.7	1.29	0.09	1.28723128723129
