Plot	Sample	SampDate	type	Latitude	Longitude	y_proj	x_proj
6	1	2017-07-13 17:09:25.000	WAYPOINT	41.303459	-105.64057	41.303459	-105.64057
6	1	2017-07-19 14:50:09.000	WAYPOINT	41.303449	-105.640393	41.303449	-105.640393
6	1	2017-08-09 16:23:18.000	WAYPOINT	41.303466	-105.64039	41.303466	-105.64039
6	2	2017-07-04 16:47:53.000	WAYPOINT	41.303422	-105.640086	41.303422	-105.640086
6	2	2017-07-13 17:07:30.000	WAYPOINT	41.303466	-105.64011	41.303466	-105.64011
6	2	2017-07-19 14:51:07.000	WAYPOINT	41.303379	-105.640271	41.303379	-105.640271
6	2	2017-08-09 16:15:07.000	WAYPOINT	41.303453	-105.640227	41.303453	-105.640227
6	3	2017-07-04 16:50:16.000	WAYPOINT	41.303385	-105.639962	41.303385	-105.639962
6	3	2017-07-13 17:03:33.000	WAYPOINT	41.303444	-105.640205	41.303444	-105.640205
6	3	2017-07-19 14:51:58.000	WAYPOINT	41.303362	-105.64018	41.303362	-105.64018
6	3	2017-08-09 16:25:21.000	WAYPOINT	41.303444	-105.639831	41.303444	-105.639831
6	4	2017-07-04 16:53:22.000	WAYPOINT	41.303431	-105.63963	41.303431	-105.63963
6	4	2017-07-13 17:01:28.000	WAYPOINT	41.303436	-105.640146	41.303436	-105.640146
6	4	2017-07-19 14:53:31.000	WAYPOINT	41.30337	-105.639557	41.30337	-105.639557
6	4	2017-08-09 16:26:00.000	WAYPOINT	41.303425	-105.639791	41.303425	-105.639791
6	5	2017-07-04 16:56:25.000	WAYPOINT	41.303351	-105.63962	41.303351	-105.63962
6	5	2017-07-13 16:59:54.000	WAYPOINT	41.303459	-105.640095	41.303459	-105.640095
6	5	2017-07-19 14:54:25.000	WAYPOINT	41.303425	-105.639409	41.303425	-105.639409
6	5	2017-08-09 16:26:59.000	WAYPOINT	41.303375	-105.639459	41.303375	-105.639459
7	1	2017-07-04 17:04:27.000	WAYPOINT	41.303217	-105.640438	41.303217	-105.640438
7	1	2017-07-12 14:46:30.000	WAYPOINT	41.30327	-105.640537	41.30327	-105.640537
7	1	2017-07-18 14:56:59.000	WAYPOINT	41.303232	-105.640505	41.303232	-105.640505
7	1	2017-08-08 15:10:11.000	WAYPOINT	41.303232	-105.640203	41.303232	-105.640203
7	2	2017-07-04 17:05:40.000	WAYPOINT	41.303305	-105.640369	41.303305	-105.640369
7	2	2017-07-12 14:48:11.000	WAYPOINT	41.303315	-105.64029	41.303315	-105.64029
7	2	2017-07-18 14:57:19.000	WAYPOINT	41.303253	-105.640368	41.303253	-105.640368
7	2	2017-08-08 15:11:11.000	WAYPOINT	41.303319	-105.640099	41.303319	-105.640099
7	3	2017-07-04 17:06:57.000	WAYPOINT	41.303296	-105.640326	41.303296	-105.640326
7	3	2017-07-12 14:49:39.000	WAYPOINT	41.303257	-105.640185	41.303257	-105.640185
7	3	2017-07-18 14:57:36.000	WAYPOINT	41.303228	-105.640242	41.303228	-105.640242
7	3	2017-08-08 15:12:09.000	WAYPOINT	41.303313	-105.639902	41.303313	-105.639902
7	4	2017-07-04 17:08:11.000	WAYPOINT	41.30328	-105.640334	41.30328	-105.640334
7	4	2017-07-12 14:51:34.000	WAYPOINT	41.303232	-105.639449	41.303232	-105.639449
7	4	2017-07-18 14:57:54.000	WAYPOINT	41.303256	-105.640145	41.303256	-105.640145
7	4	2017-08-08 15:13:10.000	WAYPOINT	41.303279	-105.639733	41.303279	-105.639733
7	5	2017-07-04 17:10:05.000	WAYPOINT	41.303207	-105.639542	41.303207	-105.639542
7	5	2017-07-12 14:52:32.000	WAYPOINT	41.303227	-105.639373	41.303227	-105.639373
7	5	2017-07-18 14:58:12.000	WAYPOINT	41.303266	-105.640016	41.303266	-105.640016
7	5	2017-08-08 15:14:04.000	WAYPOINT	41.303206	-105.639704	41.303206	-105.639704
8	1	2017-07-04 17:14:02.000	WAYPOINT	41.303151	-105.640267	41.303151	-105.640267
8	1	2017-07-12 15:06:53.000	WAYPOINT	41.303084	-105.639775	41.303084	-105.639775
8	1	2017-07-18 15:18:33.000	WAYPOINT	41.30305	-105.640557	41.30305	-105.640557
8	1	2017-08-08 15:24:28.000	WAYPOINT	41.30312	-105.640493	41.30312	-105.640493
8	2	2017-07-04 17:15:13.000	WAYPOINT	41.303067	-105.640005	41.303067	-105.640005
8	2	2017-07-12 15:07:51.000	WAYPOINT	41.303072	-105.63971	41.303072	-105.63971
8	2	2017-07-18 15:19:28.000	WAYPOINT	41.303148	-105.640447	41.303148	-105.640447
8	2	2017-08-08 15:25:13.000	WAYPOINT	41.303171	-105.640417	41.303171	-105.640417
8	3	2017-07-04 17:16:21.000	WAYPOINT	41.303091	-105.6398	41.303091	-105.6398
8	3	2017-07-12 15:08:40.000	WAYPOINT	41.303116	-105.639537	41.303116	-105.639537
8	3	2017-07-18 15:23:45.000	WAYPOINT	41.303103	-105.64031	41.303103	-105.64031
8	3	2017-08-08 15:25:59.000	WAYPOINT	41.303088	-105.640379	41.303088	-105.640379
8	4	2017-07-04 17:17:44.000	WAYPOINT	41.303088	-105.639566	41.303088	-105.639566
8	4	2017-07-12 15:09:44.000	WAYPOINT	41.303079	-105.639388	41.303079	-105.639388
8	4	2017-07-12 15:10:17.000	WAYPOINT	41.30313	-105.639389	41.30313	-105.639389
8	4	2017-07-18 15:16:53.000	WAYPOINT	41.303143	-105.639689	41.303143	-105.639689
8	4	2017-08-08 15:27:49.000	WAYPOINT	41.303142	-105.639348	41.303142	-105.639348
8	5	2017-07-04 17:19:07.000	WAYPOINT	41.303091	-105.639328	41.303091	-105.639328
8	5	2017-07-18 15:16:10.000	WAYPOINT	41.303089	-105.639754	41.303089	-105.639754
8	5	2017-08-08 15:28:45.000	WAYPOINT	41.303089	-105.639371	41.303089	-105.639371
9	1	2017-07-04 17:22:29.000	WAYPOINT	41.303013	-105.640553	41.303013	-105.640553
9	1	2017-07-12 15:21:39.000	WAYPOINT	41.303046	-105.640542	41.303046	-105.640542
9	1	2017-07-18 15:37:55.000	WAYPOINT	41.302899	-105.640509	41.302899	-105.640509
9	1	2017-08-08 16:05:18.000	WAYPOINT	41.303035	-105.640537	41.303035	-105.640537
9	2	2017-07-04 17:23:57.000	WAYPOINT	41.30299	-105.640222	41.30299	-105.640222
9	2	2017-07-12 15:24:00.000	WAYPOINT	41.30293	-105.640116	41.30293	-105.640116
9	2	2017-07-18 15:36:59.000	WAYPOINT	41.302959	-105.640419	41.302959	-105.640419
9	2	2017-08-08 16:06:26.000	WAYPOINT	41.302969	-105.640156	41.302969	-105.640156
9	3	2017-07-04 17:25:17.000	WAYPOINT	41.303015	-105.640093	41.303015	-105.640093
9	3	2017-07-12 15:25:21.000	WAYPOINT	41.302956	-105.639744	41.302956	-105.639744
9	3	2017-07-18 15:36:11.000	WAYPOINT	41.303011	-105.640356	41.303011	-105.640356
9	3	2017-08-08 16:07:19.000	WAYPOINT	41.302983	-105.640032	41.302983	-105.640032
9	4	2017-07-04 17:27:07.000	WAYPOINT	41.303001	-105.639541	41.303001	-105.639541
9	4	2017-07-12 15:26:31.000	WAYPOINT	41.302935	-105.639625	41.302935	-105.639625
9	4	2017-07-18 15:35:17.000	WAYPOINT	41.302938	-105.640274	41.302938	-105.640274
9	4	2017-08-08 16:08:16.000	WAYPOINT	41.302943	-105.639929	41.302943	-105.639929
9	5	2017-07-04 17:28:25.000	WAYPOINT	41.302997	-105.639313	41.302997	-105.639313
9	5	2017-07-12 15:27:28.000	WAYPOINT	41.302999	-105.639439	41.302999	-105.639439
9	5	2017-07-18 15:46:59.000	WAYPOINT	41.30301	-105.639828	41.30301	-105.639828
9	5	2017-08-08 16:09:21.000	WAYPOINT	41.302974	-105.639724	41.302974	-105.639724
10	1	2017-07-06 16:27:14.000	WAYPOINT	41.302802	-105.640461	41.302802	-105.640461
10	1	2017-07-14 16:43:15.000	WAYPOINT	41.302812	-105.640233	41.302812	-105.640233
10	1	2017-07-20 15:52:36.000	WAYPOINT	41.302748	-105.64027	41.302748	-105.64027
10	1	2017-08-10 16:15:12.000	WAYPOINT	41.302893	-105.640472	41.302893	-105.640472
10	2	2017-07-06 16:28:43.000	WAYPOINT	41.302846	-105.640455	41.302846	-105.640455
10	2	2017-07-14 16:45:25.000	WAYPOINT	41.302736	-105.639946	41.302736	-105.639946
10	2	2017-07-20 15:51:49.000	WAYPOINT	41.302789	-105.640186	41.302789	-105.640186
10	2	2017-08-10 16:16:05.000	WAYPOINT	41.302787	-105.640386	41.302787	-105.640386
10	3	2017-07-06 16:30:57.000	WAYPOINT	41.302862	-105.640295	41.302862	-105.640295
10	3	2017-07-14 16:47:12.000	WAYPOINT	41.302737	-105.639905	41.302737	-105.639905
10	3	2017-07-20 15:50:59.000	WAYPOINT	41.302801	-105.640025	41.302801	-105.640025
10	3	2017-08-10 16:16:50.000	WAYPOINT	41.302726	-105.640419	41.302726	-105.640419
10	4	2017-07-06 16:33:06.000	WAYPOINT	41.302812	-105.640094	41.302812	-105.640094
10	4	2017-07-14 16:50:15.000	WAYPOINT	41.302832	-105.639541	41.302832	-105.639541
10	4	2017-07-20 15:50:06.000	WAYPOINT	41.302757	-105.639839	41.302757	-105.639839
10	4	2017-08-10 16:17:59.000	WAYPOINT	41.302844	-105.639946	41.302844	-105.639946
10	5	2017-07-06 16:35:07.000	WAYPOINT	41.302777	-105.640019	41.302777	-105.640019
10	5	2017-07-14 16:50:29.000	WAYPOINT	41.30284	-105.63952	41.30284	-105.63952
10	5	2017-07-20 15:49:20.000	WAYPOINT	41.302801	-105.639741	41.302801	-105.639741
10	5	2017-08-10 16:18:48.000	WAYPOINT	41.30282	-105.639771	41.30282	-105.639771
11	1	2017-07-06 16:39:44.000	WAYPOINT	41.302606	-105.640531	41.302606	-105.640531
11	1	2017-07-14 16:15:24.000	WAYPOINT	41.302613	-105.640422	41.302613	-105.640422
11	1	2017-07-20 15:39:18.000	WAYPOINT	41.302521	-105.64044	41.302521	-105.64044
11	1	2017-08-10 16:03:26.000	WAYPOINT	41.302712	-105.640512	41.302712	-105.640512
11	2	2017-07-06 16:41:53.000	WAYPOINT	41.302553	-105.640443	41.302553	-105.640443
11	2	2017-07-14 16:23:53.000	WAYPOINT	41.302571	-105.640299	41.302571	-105.640299
11	2	2017-07-20 15:38:01.000	WAYPOINT	41.302583	-105.64003	41.302583	-105.64003
11	2	2017-08-10 16:04:19.000	WAYPOINT	41.302531	-105.640348	41.302531	-105.640348
11	3	2017-07-06 16:44:48.000	WAYPOINT	41.302518	-105.64031	41.302518	-105.64031
11	3	2017-07-14 16:25:03.000	WAYPOINT	41.302648	-105.640235	41.302648	-105.640235
11	3	2017-07-20 15:37:10.000	WAYPOINT	41.302622	-105.639995	41.302622	-105.639995
11	3	2017-08-10 16:05:06.000	WAYPOINT	41.302686	-105.640246	41.302686	-105.640246
11	4	2017-07-06 16:46:11.000	WAYPOINT	41.302655	-105.640168	41.302655	-105.640168
11	4	2017-07-14 16:27:20.000	WAYPOINT	41.302693	-105.640011	41.302693	-105.640011
11	4	2017-07-20 15:36:22.000	WAYPOINT	41.302642	-105.639857	41.302642	-105.639857
11	4	2017-08-10 16:05:58.000	WAYPOINT	41.302551	-105.640068	41.302551	-105.640068
11	5	2017-07-06 16:48:20.000	WAYPOINT	41.302625	-105.639926	41.302625	-105.639926
11	5	2017-07-14 16:29:30.000	WAYPOINT	41.302589	-105.639983	41.302589	-105.639983
11	5	2017-07-20 15:35:35.000	WAYPOINT	41.302592	-105.639836	41.302592	-105.639836
